Date,Alternatives - Global Macro,Alternative - Liquid Alts,Alternatives - Hedge Funds,Cash,Commodities - Commodities ex Precious Metals,Commodities - Gold,Equity - Asia ex Japan (USD),Equity - EU (USD),Equity - Japan (USD),Equity - China A (USD),Equity - US Large Cap,Equity - US Large Cap Growth,Equity - US Large Cap Value,Equity - US Small Cap,Equity - Global ex US (USD),Equity - EM (USD),Fixed Income -Mortgage-Backed Assets,Fixed Income - US High Yield,Fixed Income - US Investment Grade,Fixed Income - EM (USD),Fixed Income - US Treasury,Fixed Income - EUR Treasury,Fixed Income - EM Local CCY (USD Hedge),Fixed Income - GBP Gilts,Finxed Income - CAD,Fixed Income - AUD,Fixed Income - JPY,Fixed Income - MUST DELETE,Equity - Preferred Stock,Equity - REIT,Fixed Income - Aggregate,Fixed Income - Short Duration,Fixed Income - Sovereign & Agency,Fixed Income - Municipals,Equity - Emerging Markets,Fixed Income - China Treasury
1976-03,,,,,,,,,,,,,,,,,1.57319,,,,0.89278,,,,,,,,,,,,,,,
1976-04,,,,,,,,,,,,,,,,,0.20202,,,,0.72921,,,,,,,,,,,,,,,
1976-05,,,,,,,,,,,,,,,,,-0.84485,,,,-0.83781,,,,,,,,,,,,,,,
1976-06,,,,,,,,,,,,,,,,,1.2103,,,,1.36986,,,,,,,,,,,,,,,
1976-07,,,,,,,,,,,,,,,,,1.10016,,,,1.0034,,,,,,,,,,,,,,,
1976-08,,,,,,,,,,,,,,,,,1.90197,,,,1.36196,,,,,,,,,,,,,,,
1976-09,,,,,,,,,,,,,,,,,1.47646,,,,1.08283,,,,,,,,,,,,,,,
1976-10,,,,,,,,,,,,,,,,,1.20791,,,,1.14943,,,,,,,,,,,,,,,
1976-11,,,,,,,,,,,,,,,,,2.97468,,,,2.35776,,,,,,,,,,,,,,,
1976-12,,,,,,,,,,,,,,,,,2.12486,,,,1.02711,,,,,,,,,,,,,,,
1977-01,,,,,,,,,,,,,,,,,-2.53633,,,,-1.68947,,,,,,,,,,,,,,,
1977-02,,,,,,,,,,,,,,,,,-0.23818,,,,0.53988,,,,,,,,,,,,,,,
1977-03,,,,,,,,,,,,,,,,,1.07879,,,,0.68825,,,,,,,,,,,,,,,
1977-04,,,,,,,,,,,,,,,,,0.48115,,,,0.7211,,,,,,,,,,,,,,,
1977-05,,,,,,,,,,,,,,,,,0.71391,,,,0.49221,,,,,,,,,,,,,,,
1977-06,,,,,,,,,,,,,,,,,1.35719,,,,1.21707,,,,,,,,,,,,,,,
1977-07,,,,,,,,,,,,,,,,,0.03412,,,,-0.41792,,,,,,,,,,,,,,,
1977-08,,,,,,,,,,,,,,,,,1.09984,,,,0.79517,,,,,,,,,,,,,,,
1977-09,,,,,,,,,,,,,,,,,0.25299,,,,0.07305,,,,,,,,,,,,,,,
1977-10,,,,,,,,,,,,,,,,,-0.6393,,,,-0.41606,,,,,,,,,,,,,,,
1977-11,,,,,,,,,,,,,,,,,1.15137,,,,0.87957,,,,,,,,,,,,,,,
1977-12,,,,,,,,,,,,,,,,,-0.81185,,,,-0.07266,,,,,,,,,,,,,,,
1978-01,,,,,,3.4853,,,,,,,,,,,-0.70036,,,,-0.03636,,,,,,,,,,,,,,,
1978-02,,,,,,3.59674,,,,,,,,,,,0.42488,,,,0.29823,,,,,,,,,,,,,,,
1978-03,,,,,,0.07378,,,,,,,,,,,0.41462,,,,0.32635,,,,,,,,,,,,,,,
1978-04,,,,,,-7.92225,,,,,,,,,,,0.29494,,,,0.20963,,,,,,,,,,,,,,,
1978-05,,,,,,8.90775,,,,,,,,,,,-0.8486,,,,-0.01443,,,,,,,,,,,,,,,
1978-06,,,,,,-1.21539,,,,,,,,,,,-0.38132,,,,-0.18758,,,,,,,,,,,,,,,
1978-07,,,,,,11.41316,,,,,,,,,,,1.59068,,,,0.92519,,,,,,,,,,,,,,,
1978-08,,,,,,0.98928,,,,,,,,,,,1.90907,,,,1.08143,,,,,,,,,,,,,,,
1978-09,,,,,,5.54255,,,,,,,,,,,-0.08216,,,,0.17713,,,,,,,,,,,,,,,
1978-10,,,,,,9.7615,,,,,,,,,,,-1.06077,,,,-1.04675,,,,,,,,,,,,,,,
1978-11,,,,,,-19.31705,,,,,,,,,,,1.51263,,,,0.75763,,,,,,,,,,,,,,,
1978-12,,,,,,17.45887,,,,,,,,,,,-0.63042,,,,-0.681,,,,,,,,,,,,,,,
1979-01,,,,,,2.31098,,,,,,,,,,,1.58194,,,,1.87844,,,,,,,,,,,,,,,
1979-02,,,,,,7.66976,,,,,,,,,,,-0.42177,,,,0.02103,,,,,,,,,,,,,,,
1979-03,,,,,,-4.48369,,,,,,,,,,,0.88784,,,,0.97428,,,,,,,,,,,,,,,
1979-04,,,,,,3.06812,,,,,,,,,,,-0.94461,,,,0.22907,,,,,,,,,,,,,,,
1979-05,,,,,,11.69877,,,,,,,,,,,1.90725,,,,1.62061,,,,,,,,,,,,,,,
1979-06,,,,,,1.72392,,,,,,,,,,,3.07926,,,,1.9219,,,,,,,,,,,,,,,
1979-07,,,,,,1.9102,,,,,,,,,,,-0.2095,,,,-0.01337,,,,,,,,,,,,,,,
1979-08,,,,,,10.79027,,,,,,,,,,,-0.73089,,,,-0.37451,,,,,,,,,,,,,,,
1979-09,,,,,,24.79608,,,,,,,,,,,-2.21665,,,,-0.08727,,,,,,,,,,,,,,,
1979-10,,,,,,-3.64992,,,,,,,,,,,-6.19994,,,,-4.5082,,,,,,,,,,,,,,,
1979-11,,,,,,9.81976,,,,,,,,,,,3.62084,,,,3.04651,,,,,,,,,,,,,,,
1979-12,,,,,,26.96494,,,,,,,,,,,0.15658,,,,0.75789,,,,,,,,,,,,,,,
1980-01,,,,,,28.23083,,,,,,,,9.34987,,,-3.97433,,,,-1.6399,,,,,,,,,,,,,0,,
1980-02,,,,,,-8.16103,,,,,,,,1.57536,,,-5.83548,,,,-5.12573,,,,,,,,,,,,,-7.99839,,
1980-03,,,,,,-20.41083,,,,,,,,-18.65488,,,-0.8372,,,,0.76973,,,,,,,,,,,,,-5.18512,,
1980-04,,,,,,-1.1074,,,,,,,,6.9026,,,15.42626,,,,9.577,,,,,,,,,,,,,12.22054,,
1980-05,,,,,,8.21628,,,,,,,,6.25373,,,4.0388,,,,4.05761,,,,,,,,,,,,,4.77722,,
1980-06,,,,,,18.56808,,,,,,,,6.60753,,,1.62005,,,,1.44094,,,,,,,,,,,,,0.74204,,
1980-07,,,,,,-4.95716,,,,,,,,8.46923,,,-3.82012,,,,-1.09651,,,,,,,,,,,,,-3.56882,,
1980-08,,,,,,2.91336,,,,,,,,5.38671,,,-4.19077,,,,-3.13701,,,,,,,,,,,,,-4.2276,,
1980-09,,,,,,5.92562,,,,,,,,5.12174,,,0.02448,,,,-0.72836,,,,,,,,,,,,,0.0739,,
1980-10,,,,,,-5.82632,,,,,,,,4.49247,,,-2.37415,,,,-0.99574,,,,,,,,,,,,,-0.9774,,
1980-11,,,,,,-1.32902,,,,,,,,13.04124,,,0.09193,,,,-0.08602,,,,,,,,,,,,,-1.64532,,
1980-12,,,,,,-5.62745,,,,,,,,-6.5306,,,2.12908,,,,2.80133,,,,,,,,,,,,,-2.0713,,
1981-01,,,,,,-15.77482,,,,,,,,-6.67485,,,0.70307,,,,0.04509,,,,,,,,,,,,,1.47345,,
1981-02,,,,,,-3.92119,,,,,,,,-0.16188,,,-3.66943,,,,-1.2492,,,,,,,,,,,,,-0.18396,,
1981-03,,,,,,6.98794,,,,,,,,4.91273,,,2.25855,,,,2.42567,,,,,,,,,,,,,1.49434,,
1981-04,,,,,,-5.87894,,,,,,,,-0.47963,,,-6.19746,,,,-2.2409,,,,,,,,,,,,,-4.98167,,
1981-05,,,,,,-0.97332,,,,,,,,2.48352,,,6.52785,,,,2.60485,,,,,,,,,,,,,2.17663,,
1981-06,,,,,,-11.79413,,,,,,,,-2.85688,,,-2.77113,,,,0.27926,,,,,,,,,,,,,0.99979,,
1981-07,,,,,,-4.78976,,,,,,,,-0.91919,,,-3.06218,,,,-1.53165,,,,,,,,,,,,,-3.38522,,
1981-08,,,,,,6.22761,,,,,,,,-7.06533,,,-4.9615,,,,-1.24695,,,,,,,,,,,,,-9.61983,,
1981-09,,,,,,1.17878,,,,,,,,-10.15609,,,-0.58006,,,,0.80708,,,,,,,,,,,,,3.42859,,
1981-10,,,,,,-1.49815,,,,,,,,9.69869,,,9.12206,,,,5.25568,,,,,,,,,,,,,1.04383,,
1981-11,,,,,,-5.11276,,,,,,,,4.2754,,,12.27192,,,,6.81511,,,,,,,,,,,,,7.10282,,
1981-12,,,,,,-1.62477,,,,,,,,-3.4762,,,-7.46844,,,,-2.50962,,,,,,,,,,,,,-8.88106,,
1982-01,,,,,,-3.58078,,,,,,,,-6.39059,,,1.98513,,,,0.64208,,,,,,,,,,,,,3.63865,,
1982-02,,,,,,-5.92692,,,,,,,,-6.86988,,,3.23614,,,,1.53936,,,,,,,,,,,,,5.22809,,
1982-03,,,,,,-9.17073,,,,,,,,-2.7909,,,1.08628,,,,1.11829,,,,,,,,,,,,,0.06466,,
1982-04,,,,,,4.81722,,,,,,,,5.38571,,,3.04728,,,,2.36575,,,,,,,,,,,,,7.3915,,
1982-05,,,,,,-6.13932,,,,,,,,-2.8383,,,1.97393,,,,1.45347,,,,,,,,,,,,,0.74007,,
1982-06,,,,,,-2.32301,,,,,,,,-4.23159,,,-1.51205,,,,-1.16917,,,,,,,,,,,,,-4.95813,,
